season,player_id,player,position,adp_half_ppr,adp_pos_rank,p_clear_5_games,conditional_games,conditional_half_ppr_per_game,lightgbm_hurdle_raw,extra_trees_hurdle_raw,direct_half_ppr_raw,ridge_hurdle_raw,calibrated_affine_half_ppr,calibration_train_rows,calibration_slope,projected_half_ppr,projected_pos_rank,v6_direct_half_ppr_raw,sleeper_half_ppr_raw
2026,00-0039032,Tyjae Spears,RB,145.6,52.0,0.96274395332854,14.614281100520275,5.49534165914234,77.3184172154009,86.09788973321601,84.98637601471825,79.42919711025611,94.74132523033425,360,1.0705695388587408,94.74132523033425,44,80.94850135295768,97.1
2026,00-0037525,Jordan Mason,RB,133.2,48.0,0.9360851422033584,13.752360888917382,5.969358843796003,76.84582892115361,81.70605751909821,77.54625956015954,33.633151800386315,86.776163188522,360,1.0705695388587408,86.776163188522,45,64.06167941354605,118.0
2026,00-0033906,Alvin Kamara,RB,142.5,51.0,0.9337421490240065,14.197657069401238,8.046048894842029,106.66607451908708,83.67611536839807,73.36387825484438,62.2133231318924,82.29863316315934,360,1.0705695388587408,82.29863316315934,46,84.18517100645919,40.9
2026,00-0040162,Dylan Sampson,RB,151.5,53.0,0.8495669124512726,12.83050256534806,8.032141323640486,87.55331593155017,66.58392285773925,72.003413317836,56.67641448205459,80.8421608429128,360,1.0705695388587408,80.8421608429128,47,70.27121775711467,77.2
2026,00-0037746,Brian Robinson,RB,125.0,45.0,0.9527154412522797,12.995477448908064,6.85098162010604,84.82194885005175,63.18617499676512,66.94755349078503,56.382090116323226,75.4295113193324,360,1.0705695388587408,75.4295113193324,48,68.13007132104671,63.4
2026,00-0037263,Tyler Allgeier,RB,111.2,38.0,0.929701517217927,14.621446517122783,6.180153728729007,84.01042037123058,77.55818293482695,66.94371018400389,38.40623742995802,75.42539679216402,360,1.0705695388587408,75.42539679216402,49,66.65828024533852,67.8
2026,00-0033553,James Conner,RB,114.4,41.0,0.8097970890010582,12.872322468507994,7.6637921954956605,79.88713428908271,54.06058303995151,61.55859976413228,58.48668172749493,69.66026161325868,360,1.0705695388587408,69.66026161325868,50,64.14479968550971,53.8
2026,00-0038555,Tank Bigsby,RB,171.1,58.0,0.8944361298581566,13.515885081687678,6.821187186120993,82.46198634549339,61.895352064434626,60.513260301109,44.49570279450798,68.54115302637899,360,1.0705695388587408,68.54115302637899,51,62.951013734812,53.2
2026,WAS797326,Mike Washington,RB,163.3,55.0,0.8726127389114957,11.73623640426664,4.90565636975913,50.23975598085703,66.1735536404405,55.8139118423813,49.34233774822768,63.510173713982354,360,1.0705695388587408,63.510173713982354,52,55.251882456508405,57.5
2026,00-0038454,Keaton Mitchell,RB,173.3,59.0,0.8710847204537011,11.682611882694813,5.152832795379488,52.43803330475476,43.6290177057464,55.03623312606909,36.177881493775196,62.67761456927973,360,1.0705695388587408,62.67761456927973,53,44.08164416809212,87.9
2026,00-0037197,Isiah Pacheco,RB,175.3,60.0,0.9149995573055762,11.460135602931826,5.14586102149584,53.95959645997509,61.622908504415285,54.871406503188766,55.303121048364694,62.5011562076311,360,1.0705695388587408,62.5011562076311,54,56.96187533758502,48.6
2026,00-0039794,Braelon Allen,RB,158.3,54.0,0.8040228567282286,12.036604445771399,6.94424550324835,67.20436006547371,41.59889447356135,49.81638679294974,41.66229263276392,57.08940608751866,360,1.0705695388587408,57.08940608751866,55,50.15518239059966,48.8
2026,00-0039391,Kimani Vidal,RB,165.9,56.0,0.9303214089023183,12.774873498477286,5.40909706361371,64.28570310337568,61.80839083954227,49.68796019647888,40.45774684299757,56.95191648535766,360,1.0705695388587408,56.95191648535766,56,55.51728026197184,32.2
2026,COL293648,Jonah Coleman,RB,113.1,40.0,0.8292766507474092,12.793531529983033,4.073832824333031,43.22082818039309,54.17195055271083,48.808993277723985,42.94319437779201,56.010921276474136,360,1.0705695388587408,56.010921276474136,57,46.77865770363198,54.9
2026,00-0039921,Trey Benson,RB,138.5,50.0,0.8903166007589853,11.034998138189762,5.138692737408075,50.48581665631549,50.68912945678303,48.28012530787075,66.2455551183845,55.4447313378712,360,1.0705695388587408,55.4447313378712,58,55.80683374382767,25.7
2026,00-0039344,Jonathon Brooks,RB,112.0,39.0,0.7736841813024959,10.753641044829074,6.572618357430261,54.68367185788056,55.13978167366576,43.95275131737842,41.68755173796736,50.81197656040052,360,1.0705695388587408,50.81197656040052,59,50.50366842317123,24.3
2026,JOH224817,Emmett Johnson,RB,135.6,49.0,0.7737175188605602,9.98666628778554,3.3599665470805595,25.961986617915723,30.27906809596381,37.34897282564904,33.95483658871664,43.74217246578453,360,1.0705695388587408,43.74217246578453,60,30.065297100865394,59.2
2026,00-0037744,Trey McBride,TE,20.7,2.0,0.9952761383486369,14.470923531994552,11.806168988320387,170.03911497148889,162.20828607142857,173.54171418318208,170.51945568981085,167.47800084651323,144,0.76766431154343,167.47800084651323,1,167.58895224424276,191.4
2026,00-0039338,Brock Bowers,TE,20.6,1.0,0.9891116025440703,12.9446960921373,9.867689308681314,126.34341806701761,108.10905814274088,139.21251508784258,134.39758414161182,141.12469985715205,144,0.76766431154343,141.12469985715205,2,122.95002011712343,188.0
2026,00-0040128,Tyler Warren,TE,57.3,4.0,0.9840390978630846,13.086021160968262,9.85997473165381,126.96843729001722,128.29108074512703,135.30315932822128,134.75311927774095,138.12362695936406,144,0.76766431154343,138.12362695936406,3,130.0042124376284,151.2
2026,00-0040663,Harold Fannin,TE,66.7,6.0,0.957254194783386,14.379756070600381,9.966133618671902,137.1846446755615,115.68180123610564,133.50007342237535,133.03384777783424,136.73946225879916,144,0.76766431154343,136.73946225879916,4,128.6334312298338,148.1
2026,00-0040126,Colston Loveland,TE,49.7,3.0,0.9640881891422299,13.492561620090806,8.629089292012448,112.24736004504645,118.50230584455048,133.1875121202808,140.10038259152617,136.49952010201162,144,0.76766431154343,136.49952010201162,5,123.61668282704103,161.9
2026,00-0036970,Kyle Pitts,TE,76.2,7.0,0.9931021375675806,13.610210530628322,8.70130972022559,117.60976639488311,122.77697219240795,127.8785652623543,132.52752246212614,132.42403106730083,144,0.76766431154343,132.42403106730083,6,124.30475368313905,138.6
2026,00-0039065,Sam LaPorta,TE,86.6,9.0,0.9774575261452024,13.350433739762327,9.117136196885667,118.97390411144035,99.32882688991245,118.87978118579582,113.11639374183046,125.51598568444159,144,0.76766431154343,125.51598568444159,7,110.47304158106108,144.1
2026,00-0033288,George Kittle,TE,83.0,8.0,0.9766533225616365,13.34999824619338,10.03434082968224,130.8309481647527,126.92501603600401,116.80844759419733,86.07782617603264,123.92589680887035,144,0.76766431154343,123.92589680887035,8,114.61126345892978,123.4
2026,00-0034753,Mark Andrews,TE,105.6,15.0,0.9917521417925238,15.562862586311574,7.545944964266053,116.46790492472725,103.91281249400927,112.87550468855662,103.32130133548993,120.90671690087206,144,0.76766431154343,120.90671690087206,9,107.90067291807549,127.8
2026,00-0030506,Travis Kelce,TE,112.6,19.0,0.9835274457161669,14.575472969073727,8.32752160223545,119.37816746777561,124.5239116519009,108.73493470730355,59.53765970953772,117.72814909681603,144,0.76766431154343,117.72814909681603,10,101.14657960973807,131.5
2026,00-0033090,Hunter Henry,TE,100.1,12.0,0.9919710095547597,13.78004820110407,7.431807729249732,101.58841444967204,110.335587059433,104.4925801308666,86.1463190143614,114.47144489157243,144,0.76766431154343,114.47144489157243,11,99.35677350782214,119.9
2026,00-0038041,Jake Ferguson,TE,105.3,14.0,0.9900770058737455,14.62943660275509,7.319902862563343,106.02344057275491,102.09321047086891,102.15249323266293,75.69332188702789,112.67504369391112,144,0.76766431154343,112.67504369391112,12,94.60332431021725,124.8
2026,00-0040189,Oronde Gadsden,TE,90.5,11.0,0.8752552463218235,13.080454799955062,7.29926340499173,83.56734473963853,95.87919531376646,99.9061403616355,98.07802139313694,110.95059876369022,144,0.76766431154343,110.95059876369022,13,92.50818714884731,122.1
