season,week,player_id,player_display_name,position,team,opponent_team,lambda,p_ge1,p_ge2,p_book,n_books,fair_amer,book_amer,sleeper_half_ppr,scoring_tds,scored_anytime
2025,17,00-0034348,Courtland Sutton,WR,DEN,KC,0.48649293929791787,0.38522131596390474,0.08613582694947886,0.4166666666666667,8.0,160,140,10.88,0.0,0
2025,17,00-0036919,Kenneth Gainwell,RB,PIT,CLE,0.47841525533064355,0.3802352170904383,0.08373029022981948,0.36363636363636365,8.0,163,175,10.72,0.0,0
2025,17,00-0036259,Jauan Jennings,WR,SF,CHI,0.4718409481244932,0.3761472700260441,0.08178800642507933,0.46511627906976744,8.0,166,115,10.35,1.0,1
2025,17,00-0036275,D'Andre Swift,RB,CHI,SF,0.4688990047447861,0.37430922823543844,0.08092344807703844,0.425531914893617,7.0,167,135,10.98,2.0,1
2025,17,00-0038117,Wan'Dale Robinson,WR,NYG,LV,0.46650713035832203,0.37281086326856827,0.08022265890007485,0.3225806451612903,7.0,168,210,10.62,0.0,0
2025,17,00-0040734,TreVeyon Henderson,RB,NE,NYJ,0.46454813888506596,0.3715810008459077,0.07965012434885843,0.5249379372602121,8.0,169,-110,11.14,0.0,0
2025,17,00-0037744,Trey McBride,TE,ARI,CIN,0.4621890833596233,0.37009677553702924,0.0789623816172178,0.46620299934796783,8.0,170,114,15.69,1.0,1
2025,17,00-0034960,Jakobi Meyers,WR,JAX,IND,0.4564848704019245,0.3664934059788336,0.0773072305083169,0.38838612368024134,8.0,173,157,10.31,0.0,0
2025,17,00-0036322,Justin Jefferson,WR,MIN,DET,0.4509420806653664,0.3629722626678097,0.0757096493536813,0.36363636363636365,8.0,176,175,10.78,0.0,0
2025,17,00-0037228,Jaylen Warren,RB,PIT,CLE,0.44442521551574654,0.3588072822395343,0.07384507046171218,0.37735849056603776,8.0,179,165,12.78,0.0,0
2025,17,00-0039075,Puka Nacua,WR,LA,ATL,0.4400185406255879,0.3559755196443123,0.07259280767105003,0.6013658381640594,8.0,181,-151,19.67,1.0,1
2025,17,00-0040124,Tetairoa McMillan,WR,CAR,SEA,0.43506323292923654,0.35277626006887075,0.0711930073458823,0.3333333333333333,7.0,183,200,11.09,0.0,0
2025,17,00-0036410,Tee Higgins,WR,CIN,ARI,0.4191143832319731,0.3423710307613399,0.06674927092340066,0.5,8.0,192,100,13.04,0.0,0
2025,17,00-0031408,Mike Evans,WR,TB,MIA,0.41566185360054636,0.34009662328819823,0.06579996252691112,0.4166666666666667,8.0,194,140,12.54,1.0,1
2025,17,00-0038935,Brenton Strange,TE,JAX,IND,0.4135157436299932,0.3386788772965842,0.06521218146365926,0.3076923076923077,8.0,195,225,8.1,0.0,0
2025,17,00-0033526,Samaje Perine,RB,CIN,ARI,0.4122837378658995,0.3378636237660909,0.06487556359539337,0.3419053185271771,8.0,196,192,8.39,1.0,1
2025,17,00-0037240,Jameson Williams,WR,DET,MIN,0.4118809898238073,0.33759689592851283,0.06476564976118615,0.34785238959467635,8.0,196,187,11.43,0.0,0
2025,17,00-0038559,Michael Wilson,WR,ARI,CIN,0.4107387076837535,0.33683981237402516,0.06445425392121684,0.36363636363636365,8.0,197,175,10.9,1.0,1
2025,17,00-0036244,Colby Parkinson,TE,LA,ATL,0.40296143839011456,0.3316621289890882,0.06234773915594438,0.4040816326530612,8.0,202,147,8.11,0.0,0
2025,17,00-0038120,Breece Hall,RB,NYJ,NE,0.4005630391371583,0.33005726415453085,0.06170296583640722,0.37735849056603776,8.0,203,165,11.94,1.0,1
2025,17,00-0035700,Josh Jacobs,RB,GB,BAL,0.39930320897721416,0.32921271820995435,0.061365204050086275,0.49390243902439024,8.0,204,102,12.9,0.0,0
2025,17,00-0034827,DJ Moore,WR,CHI,SF,0.39764277750527394,0.3280979966930586,0.06092101788672866,0.31754032258064513,8.0,205,215,10.06,0.0,0
2025,17,00-0035676,A.J. Brown,WR,PHI,BUF,0.3963035201603194,0.32719754416579816,0.060563562546196215,0.36038961038961037,8.0,206,177,10.99,0.0,0
2025,17,00-0035261,Tony Pollard,RB,TEN,NO,0.394367038405786,0.32589341217930834,0.060047993570632285,0.37386443046820406,8.0,207,167,9.0,0.0,0
2025,17,00-0035659,Terry McLaurin,WR,WAS,DAL,0.3942440695332698,0.3258105129553407,0.06001530594630655,0.3333333333333333,8.0,207,200,10.7,0.0,0
2025,17,00-0040236,Kyle Monangai,RB,CHI,SF,0.38537838235384986,0.3198067856038118,0.05767502495174337,0.3921568627450981,8.0,213,155,8.8,0.0,0
2025,17,00-0036554,Nico Collins,WR,HOU,LAC,0.3752508716121818,0.31288312095242843,0.055041913190385094,0.37037037037037035,8.0,220,170,13.12,0.0,0
2025,17,00-0039893,Brian Thomas Jr.,WR,JAX,IND,0.37518911188795895,0.3128406834930202,0.055025989807229614,0.3389830508474576,8.0,220,195,9.07,0.0,0
2025,17,00-0036252,Michael Pittman,WR,IND,JAX,0.3747642627230396,0.31254868240741895,0.05491649621185313,0.27027027027027023,8.0,220,270,9.31,0.0,0
2025,17,00-0039851,Drake Maye,QB,NE,NYJ,0.3731086910423704,0.3114096148303367,0.05449055755532195,0.24695121951219512,8.0,221,305,22.91,0.0,0
2025,17,00-0039793,AJ Barner,TE,SEA,CAR,0.36942583144197766,0.3088689575492205,0.05354729755648058,0.3278688524590164,7.0,224,205,8.47,1.0,1
2025,17,00-0039738,Blake Corum,RB,LA,ATL,0.3685779952050656,0.30828274313518,0.053330983351197236,0.3846153846153846,8.0,224,160,8.42,0.0,0
2025,17,00-0035250,Devin Singletary,RB,NYG,LV,0.368012987713249,0.30789180727238685,0.05318700344588079,0.3306010928961749,8.0,225,202,7.14,1.0,1
2025,17,00-0040583,Woody Marks,RB,HOU,LAC,0.3674425664899952,0.3074969014498439,0.05304178561630046,0.38098693759071117,8.0,225,162,9.34,0.0,0
2025,17,00-0037664,Alec Pierce,WR,IND,JAX,0.36548312543838624,0.3061386521800624,0.05254403815794051,0.25,8.0,227,300,9.02,0.0,0
2025,17,00-0038606,Parker Washington,WR,JAX,IND,0.3637020527336344,0.3049017334784908,0.05209306709302708,0.29411764705882354,8.0,228,240,7.61,0.0,0
2025,17,00-0040663,Harold Fannin Jr.,TE,CLE,PIT,0.3632475188069893,0.30458571591909434,0.05197820268376663,0.2222222222222222,8.0,228,350,10.95,1.0,1
2025,17,00-0039064,Zay Flowers,WR,BAL,GB,0.355042342823266,0.29885624582604897,0.04992052468822927,0.2325895875591616,8.0,235,330,11.22,1.0,1
2025,17,00-0040128,Tyler Warren,TE,IND,JAX,0.35034320146619247,0.2955537187699989,0.04875575334292659,0.3333333333333333,8.0,238,200,8.76,0.0,0
2025,17,00-0036924,Michael Carter,RB,ARI,CIN,0.3476474709188912,0.2936521595166177,0.04809211918354939,0.45454545454545453,8.0,241,120,9.03,0.0,0
2025,17,00-0035685,David Montgomery,RB,DET,MIN,0.34648544389021196,0.2928308871564007,0.04780708318733873,0.425531914893617,8.0,241,135,7.91,0.0,0
2025,17,00-0038994,Jordan Addison,WR,MIN,DET,0.3388510989621645,0.28741145363589815,0.04595004159257099,0.2597402597402597,8.0,248,285,7.96,1.0,1
2025,17,00-0037238,Drake London,WR,ATL,LA,0.33831843009641993,0.28703177879165676,0.04582148948381304,0.37735849056603776,8.0,248,165,13.3,0.0,0
2025,17,00-0031588,Stefon Diggs,WR,NE,NYJ,0.33816308034036113,0.2869210107487429,0.04578402321754638,0.43015726179463465,8.0,249,132,11.53,1.0,1
2025,17,00-0033908,Cooper Kupp,WR,SEA,CAR,0.3361471435335988,0.28548203861707233,0.04529886689475093,0.23529411764705882,7.0,250,325,6.98,0.0,0
2025,17,00-0034351,Dallas Goedert,TE,PHI,BUF,0.3253265958522896,0.2777085822648516,0.0427279741197516,0.27027027027027023,8.0,260,270,8.03,1.0,1
2025,17,00-0037563,Malik Davis,RB,DAL,WAS,0.32440220584277424,0.27704059460134334,0.04251096875523863,0.30076888285843506,8.0,261,232,5.24,0.0,0
2025,17,00-0035535,Darius Slayton,WR,NYG,LV,0.3233707625351613,0.27629451825938844,0.042269324778050565,0.24548192771084337,8.0,262,307,8.28,0.0,0
2025,17,00-0039868,Troy Franklin,WR,DEN,KC,0.3214967137791876,0.2749369872593109,0.04183161138034219,0.3125763125763126,8.0,264,220,6.87,0.0,0
2025,17,00-0038041,Jake Ferguson,TE,DAL,WAS,0.3168702609784806,0.2715747458248112,0.040758445431003154,0.41241496598639454,8.0,268,142,8.94,1.0,1
2025,17,00-0037261,Khalil Shakir,WR,BUF,PHI,0.311197089612338,0.2674305201944678,0.039457030140161775,0.2898550724637681,8.0,274,245,8.53,0.0,0
